feature,importance
forks,0.7805705493192309
Hack,0.030968467154430065
C++,0.029852435591892105
Go,0.016632939328546207
Assembly,0.016458353470917227
Lasso,0.014697369591441084
LLVM,0.009086231777793743
ANTLR,0.008570591762916894
UnrealScript,0.00819189483054735
Stan,0.008005757549823968
Smali,0.006534267242476847
Processing,0.00450940665220679
Ragel,0.00361446208447741
XS,0.0035412292356815657
publicRepos,0.0031912485451754944
Scala,0.003074621633724729
Vim script,0.0027972088101780746
Haskell,0.0025972832511592637
Kotlin,0.0020359236511293946
Gnuplot,0.0019613933664497556
PowerShell,0.00189461208891915
TypeScript,0.0017606222420485404
Standard ML,0.00163319614980311
R,0.001628483503589895
VHDL,0.0015830574768062597
Lua,0.0015499265305624474
Groovy,0.0015237497236689145
Batchfile,0.0014661222013535404
XQuery,0.0014656996583272534
QML,0.0014026261537432331
Matlab,0.0013126008052171717
Gherkin,0.0012466675898898257
Smalltalk,0.0011797199111518069
AspectJ,0.001143120266700842
Jupyter Notebook,0.001141719303024287
SourcePawn,0.001074630279946531
Swift,0.000905221642109822
Ruby,0.0008366881863854428
Roff,0.0008348551265855065
AngelScript,0.0008068893143446178
Rust,0.0008054128486823177
CoffeeScript,0.0007290101553231091
Perl 6,0.0007195392700917253
Shell,0.0006925551705690632
PLpgSQL,0.0006910732485602429
POV-Ray SDL,0.0006895124275045142
Dart,0.0006587165384176503
Objective-C,0.0006392509205502287
JavaScript,0.0006330127496814597
C,0.0005876486047134251
Java,0.0005309434965072196
HTML,0.00047701177902299363
Tcl,0.0004729120600640486
Python,0.0004461837294335208
OCaml,0.0003743404279189347
FLUX,0.00034134427719677355
ASP,0.0003374256166444226
XML,0.0003313511840805556
GDB,0.0003196800848459416
Terra,0.0003124064438862147
Thrift,0.00029915628540363396
QMake,0.0002985145875409346
GAP,0.0002737806277778443
Handlebars,0.00025481222126183973
Clojure,0.00025324463435159503
Groff,0.0002299134110508782
CSS,0.00022576870206780385
Visual Basic,0.0002114454482689522
PHP,0.00020579020256050604
Makefile,0.00018231926708569266
Mathematica,0.00017249689239931076
DTrace,0.00016967114429464642
Perl,0.00016093515396558406
Protocol Buffer,0.00015812983443956832
AGS Script,0.00015789814607444387
Mako,0.00013848400361798446
Objective-C++,0.00013645716456469852
HCL,0.00012787783331407474
Smarty,0.00012157228280865426
Vue,0.00011752999880465013
ApacheConf,0.00011536866097845322
F#,0.00011000938419549315
Lex,0.00010194542420372869
C#,0.00010017132763488777
D,9.108566207362537e-05
ActionScript,8.580880093822396e-05
Puppet,8.19827005592271e-05
CMake,7.84129812608597e-05
Scilab,7.352236578529412e-05
Awk,7.220618925047988e-05
Fancy,6.502949056777143e-05
Fortran,5.8442558639468615e-05
Elixir,5.436067578599913e-05
Crystal,4.972123188171225e-05
Nix,4.932624204466416e-05
AMPL,4.5722724562014215e-05
Emacs Lisp,4.478886217774206e-05
Nginx,4.277952982306031e-05
DIGITAL Command Language,4.223615558495067e-05
VCL,4.16221490258438e-05
ownerType_User,4.127695554060705e-05
M4,3.760837801324726e-05
FreeMarker,3.522082715241497e-05
Yacc,3.500187121645003e-05
IDL,2.7292925638861498e-05
Erlang,2.6747845541889797e-05
XSLT,2.606691512063049e-05
Inno Setup,2.301860790699044e-05
Cuda,1.9601840242557407e-05
Pascal,1.92110595677086e-05
LiveScript,1.703261446126391e-05
Ada,1.597628050651083e-05
Idris,1.3812993045308218e-05
NSIS,1.3648200361030525e-05
Elm,1.3348622858897815e-05
Brightscript,1.2922228276449217e-05
PostScript,1.2242379208671184e-05
PureBasic,1.1972085668095825e-05
ownerType_Organization,1.1702336678672232e-05
Liquid,1.1249548381304366e-05
Graphviz (DOT),1.0956828540454715e-05
TeX,1.0791352855587978e-05
Haxe,1.036686991197331e-05
AppleScript,1.0172318307256587e-05
Prolog,9.389232742893e-06
Julia,8.847426958762108e-06
SQLPL,8.529922991775123e-06
ShaderLab,7.384663691239539e-06
PLSQL,7.211762394867795e-06
Mask,7.000254159123346e-06
SaltStack,6.8525307293179855e-06
Max,6.839217463990976e-06
Bison,6.583580535565972e-06
GLSL,6.10036757177548e-06
Scheme,6.0914802412699314e-06
Oxygene,5.815299904189372e-06
Vala,5.497777821167111e-06
Mercury,5.460982777489113e-06
Mirah,5.280712691990674e-06
ColdFusion,4.939071349647221e-06
TLA,4.635397807564471e-06
Arduino,4.041027909239261e-06
OpenEdge ABL,3.597006523074047e-06
Meson,3.300324623059388e-06
Ragel in Ruby Host,2.6865814396372745e-06
SAS,2.626026374386666e-06
API Blueprint,2.5999405708393566e-06
Nearley,2.567349780132717e-06
Inform 7,2.4120260474245317e-06
Boo,2.235129592406716e-06
Racket,2.1965727444713655e-06
SuperCollider,2.0053672484788045e-06
Forth,1.3707935511393624e-06
PigLatin,1.1168242249059797e-06
RPC,1.0605398611444514e-06
Logos,1.043563869156868e-06
Eiffel,1.0098085445215357e-06
E,9.294719840179052e-07
Coq,8.598839308998518e-07
Cap'n Proto,8.023850660098506e-07
HLSL,8.014815599685385e-07
GCC Machine Description,6.915273260838299e-07
Pure Data,5.743215492347281e-07
M,5.730481271764872e-07
SRecode Template,5.153084034022962e-07
Nim,4.5979616637740293e-07
RenderScript,4.5689904971796213e-07
mupad,4.512167706926854e-07
Common Lisp,4.187651843644505e-07
xBase,3.3200397729810613e-07
Hy,3.2755662954035546e-07
Clarion,3.272185086012787e-07
Rebol,2.613547868437541e-07
PureScript,2.6080682561978215e-07
Apex,2.60707238736895e-07
COBOL,2.5718693315083146e-07
J,2.137434026671593e-07
Objective-J,1.9462702074774142e-07
Module Management System,1.910578570035129e-07
OpenSCAD,1.7724459567724332e-07
Brainfuck,1.7332254643607902e-07
CLIPS,1.7094619156290187e-07
MAXScript,1.6853290183616795e-07
Web Ontology Language,1.3961528106477794e-07
SQL,1.362899467865157e-07
GDScript,1.3202742338081116e-07
Gosu,1.2351781606279606e-07
Eagle,1.0281117263447679e-07
NewLisp,9.025516848553098e-08
Diff,8.254801803865944e-08
Nu,7.407716617937892e-08
Verilog,7.367272415214348e-08
nesC,7.263146308221124e-08
Metal,6.334880344165515e-08
Gettext Catalog,6.158181736690084e-08
JSONiq,6.144368619554166e-08
Augeas,6.048755838657609e-08
CWeb,5.7547927269452927e-08
Stata,5.5050086961769874e-08
Volt,5.147437940652042e-08
Component Pascal,4.5571135100603425e-08
1C Enterprise,4.382838605881218e-08
Solidity,4.313403888074207e-08
SystemVerilog,4.24015917388039e-08
KiCad Layout,3.5047478193825315e-08
Agda,3.416836851747323e-08
Frege,3.123345874558421e-08
Io,2.548579207087249e-08
Logtalk,2.5127456056319115e-08
NetLogo,2.4391320314047755e-08
AutoHotkey,2.2259233548492958e-08
Zephir,2.1462609054767975e-08
CartoCSS,2.084296393925992e-08
ABAP,2.0736329307825796e-08
LilyPond,1.577454835267735e-08
BlitzBasic,1.3375027095149023e-08
Limbo,1.3350408244967831e-08
Slash,1.3161036337547e-08
Nemerle,1.2886329992086884e-08
PAWN,1.2736893872985818e-08
WebIDL,1.2245123089019974e-08
Turing,9.388003869272918e-09
XProc,7.907268860632116e-09
Clean,7.81838717290954e-09
LSL,7.616527253978954e-09
Xtend,7.151911846517589e-09
RAML,6.315379452497782e-09
APL,4.194865434519361e-09
LOLCODE,3.9344936010747285e-09
wisp,3.908333392664648e-09
Oz,3.2447689702121784e-09
Parrot,3.0380406921828324e-09
GAMS,2.904873776774412e-09
XC,2.8386556956667466e-09
KRL,2.8171527537780382e-09
RobotFramework,2.7423672484200394e-09
Isabelle,2.63865718837864e-09
WebAssembly,2.3361247150562326e-09
MoonScript,2.0350985931366803e-09
Pike,1.8801767263018592e-09
Game Maker Language,1.6143227460838293e-09
eC,1.371159741087065e-09
Shen,1.310481158280427e-09
Arc,1.034684426372367e-09
Harbour,9.790763195542392e-10
Bro,8.395815131849057e-10
Jasmin,6.981741456509948e-10
PicoLisp,5.321190401992715e-10
Factor,4.958474780992478e-10
Lean,4.3091480279654446e-10
Cool,3.987672985290265e-10
Rascal,3.9752474500569093e-10
Grammatical Framework,2.2988788848713898e-10
Cirru,2.1718545161060133e-10
EmberScript,2.078230138652105e-10
Csound,1.9873831023169918e-10
Opa,1.797908005469417e-10
Ceylon,1.5431987254313053e-10
Modula-2,9.892029601517942e-11
Myghty,8.44955414201227e-11
Dogescript,7.654349116223221e-11
BitBake,6.800280371341794e-11
ChucK,3.412386363211077e-11
Squirrel,2.9501640687793504e-11
Pony,2.5392966655938195e-11
Ioke,2.1343060886605755e-11
REXX,2.0942600219860625e-11
AutoIt,1.617479815101507e-11
Alloy,1.3903459850094682e-11
UrWeb,9.96110142758137e-12
SQF,9.76268695821118e-12
Modelica,7.965324981145441e-12
Zimpl,6.533198703366746e-12
Csound Document,5.513627789629584e-12
XPages,2.2618030869603338e-12
Csound Score,2.1763382629760717e-12
IGOR Pro,1.6194388379121574e-12
Ballerina,9.765156443490834e-13
SMT,7.268298124707118e-13
LabVIEW,2.692233870796621e-13
Dylan,1.564335348744528e-13
Genshi,1.2802591782050337e-13
Nit,7.258495082116307e-14
Rouge,5.456625242729337e-14
Red,2.883651906089858e-14
LookML,1.7661089529675657e-14
TXL,6.277010479663085e-15
NCL,0.0
Monkey,0.0
ooc,0.0
Filebench WML,0.0
Golo,0.0
ShellSession,0.0
X10,0.0
Redcode,0.0
Tea,0.0
MQL5,0.0
Moocode,0.0
MQL4,0.0
BlitzMax,0.0
Fantom,0.0
Chapel,0.0
JFlex,0.0
Papyrus,0.0
Cycript,0.0
HyPhy,0.0
PogoScript,0.0
Common Workflow Language,0.0
Genie,0.0
DM,0.0
Click,0.0
Pan,0.0
Self,0.0
Uno,0.0
ATS,0.0
Bluespec,0.0
Propeller Spin,0.0
ECL,0.0
DCPU-16 ASM,0.0
P4,0.0
